label,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
Quartz tholeiite (synthetic reference),52.50,1.40,14.00,1.30,9.50,0.17,6.30,10.00,2.40,0.50,0.20
Olivine tholeiite (synthetic reference),48.50,2.20,13.00,1.40,9.80,0.17,11.50,10.50,2.10,0.40,0.20
Alkali olivine basalt (synthetic reference),47.50,2.50,15.50,3.20,8.00,0.17,6.80,9.40,3.50,1.30,0.50
"Olivine nephelinite, strongly undersaturated (synthetic)",40.50,2.60,11.50,4.00,8.00,0.20,12.50,13.00,3.60,1.20,0.80
Garnet lherzolite (model mantle),45.20,0.20,4.00,0.50,7.80,0.13,38.00,3.50,0.35,0.03,0.03
Diopside (end member),55.49,0,0,0,0,0,18.61,25.90,0,0,0
Forsterite (end member),42.71,0,0,0,0,0,57.29,0,0,0,0
Anorthite (end member),43.19,0,36.65,0,0,0,0,20.16,0,0,0
Enstatite (end member),59.85,0,0,0,0,0,40.15,0,0,0,0
Pyrope (end member),44.71,0,25.31,0,0,0,29.98,0,0,0,0
