ohara_label,column,printed,value,source,table,printed_column,page,archive_item,pdf_page_index,note
PB,SiO2,46.94,46.94,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,Al2O3,9.03,9.03,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,Fe2O3,1.74,1.74,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,FeO,10.25,10.25,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,MnO,0.17,0.17,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,MgO,20.10,20.10,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,CaO,7.76,7.76,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,Na2O,1.59,1.59,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,K2O,0.35,0.35,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,H2O+,0.13,0.13,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,H2O-,Nil,0,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,TiO2,1.80,1.80,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,P2O5,0.17,0.17,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,Cr2O3,0.18,0.18,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,S,n.d.,,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,F,n.d.,,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,total,100.21,100.21,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Qz,---,,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Or,2.22,2.22,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Ab,13.62,13.62,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Ne,---,,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_An,16.12,16.12,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Di,17.08,17.08,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Hy,13.74,13.74,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Ol,30.58,30.58,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Il,3.50,3.50,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
PB,n_Mt,2.78,2.78,Carnegie Institution of Washington Year Book 62,3,1,79,yearbookcarne62196263carn,150,
