no,investigated,rock,locality,source,SiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O+,H2O-,P2O5,TiO2,Cr2O3,SrO,NiO,CO2,SO3,total,n_Qz,n_Or,n_Ab,n_Ne,n_An,n_Di,n_Hy,n_Ol,n_Mt,n_Il,n_Ap,n_Ct,n_Cs,n_Ks,n_Rest,n_total
1,no,Quartz dolerite,"Palolo Quarry, Honolulu, Oahu",Wentworth & Winchell (1947); analyst F. A. Gonyer,52.30,14.80,3.12,7.30,0.05,6.72,7.98,3.78,0.60,0.64,0.23,0.66,1.68,,,,,,99.86,2.16,3.34,31.96,,21.68,11.14,19.22,,4.41,3.19,1.68,,,,0.87,99.65
2,no,Quartz dolerite,"Palolo Quarry, Honolulu, Oahu",Kuno et al. (1957); analyst K. Nagashima,54.31,13.53,3.05,7.16,0.26,7.26,9.65,2.33,0.49,0.08,0.20,0.02,1.84,,0.11,,,,100.29,8.82,2.78,19.39,,25.02,19.02,16.87,,4.41,3.50,,,,,0.28,100.09
3,yes,Quartz dolerite,"Palolo Quarry, Honolulu, Oahu",Tilley (1950); Cambridge 48589; analyst J. H. Scoon,54.26,13.98,3.19,7.31,0.14,6.91,8.30,2.99,0.49,0.38,0.37,0.28,1.79,,,,,,100.39,7.56,2.78,25.15,,23.35,12.79,19.30,,4.64,3.34,0.67,,,,0.75,100.33
4,no,Hypersthene basalt,"1887 flow, Mauna Loa, Hawaii",Washington (1923b); analyst H. S. Washington,51.90,11.69,2.24,8.84,0.11,7.37,9.87,2.07,0.41,0.31,0.04,0.28,4.89,,,,,,100.02,9.66,2.22,17.29,,21.68,20.51,15.16,,3.25,9.27,0.67,,,,0.35,100.06
5,yes,Hypersthene basalt,"1887 flow, Mauna Loa, Hawaii",Tilley & Scoon (1961); Cambridge 57374; analyst J. H. Scoon,51.77,13.78,2.04,9.13,0.16,8.58,10.12,2.36,0.39,0.07,0.06,0.17,1.76,,,,,,100.39,1.92,2.22,19.91,,25.85,19.19,24.47,,3.02,3.34,0.34,,,,0.13,100.39
6,no,Tholeiite,"prehistoric flow, Kilauea (National Park quarry), Hawaii",Powers (1931); analyst J. J. Fahey,51.35,13.36,1.32,9.85,0.07,7.62,10.74,1.93,0.50,0.29,0.00,0.28,2.50,0.03,,0.025,,,99.86,4.26,2.78,16.24,,26.41,20.65,21.84,,1.86,4.71,0.67,,,,0.29,99.71
7,yes,Tholeiite,"prehistoric flow, Kilauea (National Park quarry), Hawaii",Muir Tilley & Scoon (1957); Cambridge 57358; analyst J. H. Scoon,51.18,14.07,1.35,9.78,0.17,7.78,10.83,2.39,0.44,0.10,0.01,0.15,2.10,0.05,,,,,100.40,0.30,2.22,20.96,,26.13,22.04,22.44,,1.86,3.95,0.34,,,,0.11,100.35
7a,yes,Tholeiite,"1960 flow, Kilauea, Hawaii",Muir & Tilley (1962); tachylite spatter; Cambridge 66158; analyst J. H. Scoon,50.40,13.91,1.80,10.09,0.18,6.57,10.65,2.52,0.69,0.04,0,0.30,3.26,0.04,,,,,100.45,1.80,3.89,20.96,,24.74,21.61,17.82,,2.55,6.08,0.67,,,,0.08,100.20
8,no,Olivine tholeiite,"1921 flow, Kilauea, Hawaii",Powers (1931); analyst L. J. Richardson,50.85,15.30,0.28,10.42,0.10,7.80,11.45,0.70,0.58,0.18,0,0.22,1.55,0.05,,0.002,,,99.48,5.40,3.34,5.76,,36.97,15.98,28.00,,0.46,2.89,0.34,,,,0.18,99.32
9,no,Olivine tholeiite,"1921 flow, Kilauea, Hawaii",Macdonald & Eaton (1955); re-analysis of no. 8; analyst L. N. Tarrant,50.04,13.68,2.29,9.05,0.17,7.61,11.38,2.24,0.57,0.00,0.02,0.27,2.76,,,,0.06,,100.14,1.47,3.34,18.92,,25.58,23.41,18.12,,3.31,5.24,0.64,0.14,,,0.02,100.19
