no,printed_column,column,printed_row,printed,value,page,note
1,1,SiO2,SiO2,52·30,52.30,361,
1,1,Al2O3,Al2O3,14·80,14.80,361,
1,1,Fe2O3,Fe2O3,3·12,3.12,361,
1,1,FeO,FeO,7·30,7.30,361,
1,1,MnO,MnO,0·05,0.05,361,
1,1,MgO,MgO,6·72,6.72,361,
1,1,CaO,CaO,7·98,7.98,361,
1,1,Na2O,Na2O,3·78,3.78,361,
1,1,K2O,K2O,0·60,0.60,361,
1,1,H2O+,H2O+,0·64,0.64,361,
1,1,H2O-,H2O-,0·23,0.23,361,
1,1,P2O5,P2O5,0·66,0.66,361,
1,1,TiO2,TiO2,1·68,1.68,361,
1,1,Cr2O3,Cr2O3,n.d.,,361,
1,1,SrO,SrO,n.d.,,361,
1,1,NiO,NiO,n.d.,,361,
1,1,CO2,CO2,n.d.,,361,
1,1,SO3,SO3,n.d.,,361,
1,1,total,TOTAL,99·86,99.86,361,
1,1,n_Qz,Qz,2·16,2.16,361,
1,1,n_Or,Or,3·34,3.34,361,
1,1,n_Ab,Ab,31·96,31.96,361,
1,1,n_Ne,Ne,—,,361,
1,1,n_An,An,21·68,21.68,361,
1,1,n_Di,Di,11·14,11.14,361,
1,1,n_Hy,Hy,19·22,19.22,361,
1,1,n_Ol,Ol,—,,361,
1,1,n_Mt,Mt,4·41,4.41,361,
1,1,n_Il,Il,3·19,3.19,361,
1,1,n_Ap,Ap,1·68,1.68,361,
1,1,n_Ct,Ct,—,,361,
1,1,n_Cs,Cs,—,,361,
1,1,n_Ks,Ks,—,,361,
1,1,n_Rest,Rest,0·87,0.87,361,"""Rest"" row of the printed norm"
1,1,n_total,TOTAL,99·65,99.65,361,
2,2,SiO2,SiO2,54·31,54.31,361,
2,2,Al2O3,Al2O3,13·53,13.53,361,
2,2,Fe2O3,Fe2O3,3·05,3.05,361,
2,2,FeO,FeO,7·16,7.16,361,
2,2,MnO,MnO,0·26,0.26,361,
2,2,MgO,MgO,7·26,7.26,361,
2,2,CaO,CaO,9·65,9.65,361,
2,2,Na2O,Na2O,2·33,2.33,361,
2,2,K2O,K2O,0·49,0.49,361,
2,2,H2O+,H2O+,0·08,0.08,361,
2,2,H2O-,H2O-,0·20,0.20,361,
2,2,P2O5,P2O5,0·02,0.02,361,
2,2,TiO2,TiO2,1·84,1.84,361,
2,2,Cr2O3,Cr2O3,n.d.,,361,
2,2,SrO,SrO,0·11,0.11,361,
2,2,NiO,NiO,n.d.,,361,
